
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2034  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990046 0.0990105 8.91687e-05 
2035  0 0.0990105 0.119243 0.098614 0.0990105 0.0988948 0.0990105 0.000642621 
2036  0 0.0990105 0.119243 0.0956509 0.0990105 0.0986456 0.0990105 0.0013727 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 1.27329e-11 
2024 1785.64 465.616 428.615 647.404 650.029 650.655 656.012 2.88335 
2025 1785.64 465.616 428.615 628.891 635.898 637.024 648.305 6.70119 
2026 1785.64 465.616 428.615 602.214 615.218 617.148 637.141 11.6311 
2027 1785.64 465.616 428.615 578.113 598.159 600.43 630.952 17.1816 
2028 1785.64 465.616 428.615 548.319 574.818 578.498 618.173 22.9449 
2029 1785.64 465.616 428.615 521.742 556.665 560.241 611.057 28.4888 
2030 1785.64 465.616 428.615 496.828 541.395 545.234 605.762 33.638 
2031 1785.64 465.616 428.615 477.881 529.066 533.052 600.518 38.0488 
2032 1785.64 465.616 428.615 462.678 518.531 523.307 596.25 41.7102 
2033 1785.64 465.616 428.615 450.959 511.03 515.414 595.499 44.8013 
2034 1785.64 465.616 428.615 439.804 504.574 508.973 592.421 47.1744 
2035 1785.64 465.616 428.615 431.775 499.11 503.489 591.782 48.9222 
2036 1785.64 465.616 428.615 425.718 494.649 498.823 586.956 50.0813 
Alternative 3 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 29.7605 29.7605 29.7605 29.7605 5.43565e-13 
2024  0 25.3018 27.0643 23.8313 23.8313 23.8313 23.8313 1.85963e-10 
2025  0 25.3018 27.0643 31.058 31.058 31.058 31.058 1.47618e-08 
2026  0 25.3018 27.0643 29.435 29.435 29.435 29.435 7.59701e-08 
2027  0 25.3018 27.0643 18.3278 18.3885 18.3991 18.4999 0.058994 
2028  0 25.3018 27.0643 17.9265 18.0715 18.0942 18.3272 0.135626 
2029  0 25.3018 27.0643 17.4822 17.7683 17.8034 18.2378 0.254439 
2030  0 25.3018 27.0643 17.0273 17.4986 17.5565 18.3087 0.412215 
2031  0 25.3018 27.0643 16.5775 17.2758 17.3574 18.3918 0.598722 
2032  0 25.3018 27.0643 16.1523 17.1035 17.2189 18.6088 0.800162 
2033  0 25.3018 27.0643 15.7736 17.0092 17.13 18.886 1.00221 
2034  0 25.3018 27.0643 15.3965 16.9547 17.0907 19.227 1.1925 
2035  0 25.3018 27.0643 15.1085 16.9424 17.0897 19.5438 1.36269 
2036  0 25.3018 27.0643 14.9254 16.9447 17.1258 19.7595 1.50859 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.446 234.446 234.446 234.446 2.24532e-12 
2024 343.618 137.447 120.266 229.445 229.453 229.455 229.473 0.00926822 
2025 343.618 137.447 120.266 224.754 224.793 224.8 224.868 0.0392418 
2026 343.618 137.447 120.266 217.813 217.944 217.966 218.181 0.126192 
2027 343.618 137.447 120.266 212.179 212.526 212.584 213.15 0.329138 
2028 343.618 137.447 120.266 208.597 209.405 209.527 210.817 0.748391 
2029 343.618 137.447 120.266 204.044 205.762 206.006 208.711 1.5572 
2030 343.618 137.447 120.266 198.877 202.218 202.627 207.635 2.9356 
2031 343.618 137.447 120.266 193.673 199.329 199.991 208.536 4.95447 
2032 343.618 137.447 120.266 188.71 197.336 198.345 211.333 7.44604 
2033 343.618 137.447 120.266 184.256 196.147 197.633 214.867 10.0484 
2034 343.618 137.447 120.266 180.891 196.119 197.572 219.15 12.4245 
2035 343.618 137.447 120.266 177.162 196.221 197.895 223.894 14.4129 
2036 343.618 137.447 120.266 175.054 196.505 198.382 226.352 15.9998 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0712498 0.0712498 0.0712498 0.0712498 0 
2024  0 0.0990105 0.119243 0.0584165 0.0584174 0.0584173 0.0584178 4.48902e-07 
2025  0 0.0990105 0.119243 0.0782745 0.0783015 0.0782989 0.0783137 1.30724e-05 
2026  0 0.0990105 0.119243 0.0769064 0.0770575 0.0770438 0.0771318 7.60918e-05 
2027  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2028  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2029  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2030  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2031  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2032  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2033  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2034  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2035  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 
2036  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 4.71845e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 1.27329e-11 
2024 1785.64 465.616 428.615 647.404 650.029 650.655 656.012 2.88335 
2025 1785.64 465.616 428.615 628.891 635.898 637.024 648.305 6.70119 
2026 1785.64 465.616 428.615 602.214 615.218 617.148 637.141 11.6311 
2027 1785.64 465.616 428.615 578.113 598.159 600.43 630.952 17.1816 
2028 1785.64 465.616 428.615 565.943 592.515 596.204 635.854 23.0091 
2029 1785.64 465.616 428.615 554.607 589.774 593.339 644.677 28.696 
2030 1785.64 465.616 428.615 542.748 587.705 591.611 653.208 34.0967 
2031 1785.64 465.616 428.615 534.85 586.763 590.851 660.339 38.8808 
2032 1785.64 465.616 428.615 528.613 586.234 590.918 665.54 43.0319 
2033 1785.64 465.616 428.615 524.467 587.114 591.488 673.643 46.7043 
2034 1785.64 465.616 428.615 519.763 587.514 592.372 681.389 49.717 
2035 1785.64 465.616 428.615 516.57 589.036 593.276 684.69 52.1258 
2036 1785.64 465.616 428.615 515.963 590.455 594.179 692.109 53.9716 
Alternative 4 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 29.7605 29.7605 29.7605 29.7605 5.43565e-13 
2024  0 25.3018 27.0643 23.8313 23.8313 23.8313 23.8313 1.85963e-10 
2025  0 25.3018 27.0643 31.058 31.058 31.058 31.058 1.47618e-08 
2026  0 25.3018 27.0643 29.435 29.435 29.435 29.435 7.59701e-08 
2027  0 25.3018 27.0643 23.5184 23.5966 23.6103 23.7403 0.0760703 
2028  0 25.3018 27.0643 22.7513 22.9378 22.9672 23.2672 0.1746 
2029  0 25.3018 27.0643 21.9538 22.3207 22.3662 22.924 0.326754 
2030  0 25.3018 27.0643 21.1692 21.7709 21.8466 22.812 0.527568 
2031  0 25.3018 27.0643 20.4193 21.3071 21.4131 22.7315 0.762933 
2032  0 25.3018 27.0643 19.72 20.9317 21.0804 22.8479 1.01433 
2033  0 25.3018 27.0643 19.1232 20.689 20.8324 23.0355 1.26304 
2034  0 25.3018 27.0643 18.5363 20.4914 20.6658 23.3517 1.49346 
2035  0 25.3018 27.0643 18.0798 20.3756 20.5632 23.5874 1.69566 
2036  0 25.3018 27.0643 17.798 20.2967 20.5193 23.8065 1.86539 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.446 234.446 234.446 234.446 2.24532e-12 
2024 343.618 137.447 120.266 229.445 229.453 229.455 229.473 0.00926822 
2025 343.618 137.447 120.266 224.754 224.793 224.8 224.868 0.0392418 
