"","YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
"258",2018,2018-06-25,301,"GOA",6486.63
"259",2018,2018-09-21,301,"GOA",2892.19
"260",2018,2018-09-21,301,"GOA",21072.58
"261",2018,2018-10-24,301,"GOA",930.5
"262",2018,2018-10-24,301,"GOA",15522.37
"263",2018,2018-05-30,301,"GOA",11340
"264",2018,2018-11-18,301,"GOA",29.86
"265",2018,2018-11-19,301,"GOA",50.16
"266",2018,2018-11-09,301,"GOA",13.57
"267",2018,2018-11-09,301,"GOA",215.86
"268",2018,2018-11-10,301,"GOA",35.49
"269",2018,2018-05-14,301,"GOA",47725
"270",2018,2018-05-14,301,"GOA",42381
"271",2018,2018-11-17,301,"GOA",94.46
"272",2018,2018-11-17,301,"GOA",622.33
"273",2018,2018-11-17,301,"GOA",31.4
"274",2018,2018-11-18,301,"GOA",87.77
"275",2018,2018-11-18,301,"GOA",96.55
"276",2018,2018-11-18,301,"GOA",429.78
"277",2018,2018-10-15,301,"GOA",1759.34
"278",2018,2018-10-15,301,"GOA",6213.33
"279",2018,2018-10-16,301,"GOA",86.7
"280",2018,2018-10-16,301,"GOA",207.31
"281",2018,2018-05-21,301,"GOA",4247.49
"282",2018,2018-05-21,301,"GOA",2001.19
"283",2018,2018-05-21,301,"GOA",826.35
"284",2018,2018-05-21,301,"GOA",2094.15
"285",2018,2018-10-06,301,"GOA",653.95
"286",2018,2018-10-06,301,"GOA",204.05
"287",2018,2018-10-06,301,"GOA",969.49
"288",2018,2018-10-11,301,"GOA",1266.23
"289",2018,2018-10-15,301,"GOA",1001.74
"290",2018,2018-10-15,301,"GOA",2259.45
"291",2018,2018-10-15,301,"GOA",1381.81
"292",2018,2018-10-16,301,"GOA",518.4
"293",2018,2018-10-16,301,"GOA",259.5
"294",2018,2018-10-16,301,"GOA",306.31
"295",2018,2018-10-24,301,"GOA",4881.02
"296",2018,2018-10-24,301,"GOA",2432.78
"297",2018,2018-10-24,301,"GOA",2132.62
"298",2018,2018-10-25,301,"GOA",808.78
"299",2018,2018-10-25,301,"GOA",173.32
"300",2018,2018-10-27,301,"GOA",6964.75
"301",2018,2018-10-27,301,"GOA",4365.39
"302",2018,2018-05-07,301,"GOA",321.17
"303",2018,2018-05-07,301,"GOA",166.83
"304",2018,2018-08-27,301,"GOA",613.09
"305",2018,2018-08-27,301,"GOA",9428.44
"306",2018,2018-08-27,301,"GOA",9619.04
"307",2018,2018-08-27,301,"GOA",20891.72
"308",2018,2018-08-27,301,"GOA",17874.77
"309",2018,2018-08-27,301,"GOA",25717.3
"310",2018,2018-05-06,301,"GOA",27.31
"311",2018,2018-05-06,301,"GOA",1153.1
"312",2018,2018-05-07,301,"GOA",2564.44
"313",2018,2018-08-28,301,"GOA",8853.03
"314",2018,2018-08-28,301,"GOA",1501.26
"315",2018,2018-08-28,301,"GOA",15636.15
