year,performance,specimen_type,haul_join,port_join,species,fmp_gear,fmp_area,fmp_subarea,age,length,weight
1987,NA,1,895152,NA,301,TRW,GOA,SE,10,34,0.7
1987,NA,1,895152,NA,301,TRW,GOA,SE,8,35,0.75
1987,NA,1,895152,NA,301,TRW,GOA,SE,11,39,0.85
1987,NA,1,895152,NA,301,TRW,GOA,SE,22,39,0.9
1987,NA,1,895152,NA,301,TRW,GOA,SE,42,39,0.9
1987,NA,1,895152,NA,301,TRW,GOA,SE,34,39,0.9
1987,NA,1,895152,NA,301,TRW,GOA,SE,11,39,1
1987,1,1,895049,NA,301,TRW,GOA,SE,6,21,0.15
1987,1,1,895049,NA,301,TRW,GOA,SE,7,31,0.45
1987,1,1,895049,NA,301,TRW,GOA,SE,7,34,0.55
1987,1,1,895049,NA,301,TRW,GOA,SE,7,34,0.55
1987,1,1,895049,NA,301,TRW,GOA,SE,8,34,0.6
1987,1,1,895049,NA,301,TRW,GOA,SE,10,37,0.8
1987,1,1,895042,NA,301,TRW,GOA,SE,25,44,1.15
1987,1,1,895042,NA,301,TRW,GOA,SE,58,45,1.05
1987,NA,1,895152,NA,301,TRW,GOA,SE,58,40,0.95
1987,NA,1,895152,NA,301,TRW,GOA,SE,34,41,1.15
1987,NA,1,895152,NA,301,TRW,GOA,SE,34,41,1.15
1987,NA,1,895152,NA,301,TRW,GOA,SE,11,42,1.15
1987,NA,1,895152,NA,301,TRW,GOA,SE,42,42,1.3
1987,NA,1,895152,NA,301,TRW,GOA,SE,49,42,1.3
1987,NA,1,895152,NA,301,TRW,GOA,SE,37,43,1.35
1987,NA,1,895152,NA,301,TRW,GOA,SE,18,44,1.5
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,30,0.45
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,30,0.5
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,30,0.5
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,31,0.55
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,32,0.5
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,32,0.55
1987,NA,1,895157,NA,301,TRW,GOA,SE,7,31,0.55
1987,NA,1,895157,NA,301,TRW,GOA,SE,7,32,0.55
1987,NA,1,895157,NA,301,TRW,GOA,SE,7,32,0.55
1987,NA,1,895157,NA,301,TRW,GOA,SE,6,32,0.6
1987,NA,1,895157,NA,301,TRW,GOA,SE,7,32,0.6
1987,NA,1,895157,NA,301,TRW,GOA,SE,7,32,0.6
1987,NA,1,895157,NA,301,TRW,GOA,SE,7,34,0.7
1987,NA,1,895157,NA,301,TRW,GOA,SE,9,35,0.7
