"variable","year","Q1","median","Q3"
"log_rec_dev.50",1985,0.0523534415160971,0.320609821445153,0.579178642962121
"log_rec_dev.51",1986,0.245056796901897,0.589965434127728,0.902276996086048
"log_rec_dev.52",1987,0.278717798420203,0.62174275390248,0.861174416337264
"log_rec_dev.53",1988,0.83713109147177,1.0401972412264,1.23932270729463
"log_rec_dev.54",1989,0.660683030332878,0.885712121410628,1.0954075290275
"log_rec_dev.55",1990,0.238720068888373,0.592069246686287,0.848885276967637
"log_rec_dev.56",1991,-0.698886325548222,-0.26818882590502,0.0508940224419532
"log_rec_dev.57",1992,-0.412286058893569,-0.0422090680919575,0.294149977832498
"log_rec_dev.58",1993,-0.365426750474507,0.0335121363970075,0.343458212238948
"log_rec_dev.59",1994,-0.0555269580064435,0.252286426323111,0.516670654657515
"log_rec_dev.60",1995,-0.419532890222098,-0.0511428718393648,0.298231231431686
"log_rec_dev.61",1996,0.679514402185931,0.88290998772452,1.1037487599156
"log_rec_dev.62",1997,0.724138253969409,0.933631915825639,1.15519467475562
"log_rec_dev.63",1998,-0.0385902132903779,0.408120576793102,0.706964616060449
"log_rec_dev.64",1999,0.294134662634184,0.618234942589456,0.910987008613753
"log_rec_dev.65",2000,1.19819728209479,1.39465042274526,1.59774545934415
"log_rec_dev.66",2001,0.456090854285678,0.836469060365518,1.1220886476706
"log_rec_dev.67",2002,1.20770899110037,1.41248831961549,1.59281495184423
"log_rec_dev.68",2003,0.0699873259718968,0.536427183947112,0.905127094421121
"log_rec_dev.69",2004,0.928837927069671,1.15034273898795,1.39461849511266
"log_rec_dev.70",2005,-0.818379701726113,-0.207493008594699,0.292891807838407
"log_rec_dev.71",2006,0.353409229478366,0.785582669519042,1.06031610654361
"log_rec_dev.72",2007,-0.3387689988426,0.213889481310055,0.569857350367839
"log_rec_dev.73",2008,1.17579953768509,1.40616870160102,1.6095763523746
"log_rec_dev.74",2009,0.539492432519149,0.916376065315564,1.22402400124645
"log_rec_dev.75",2010,1.146397824815,1.44735661368918,1.70864025460402
"log_rec_dev.76",2011,-0.346427871948684,0.163753510049906,0.733181393043768
"log_rec_dev.77",2012,0.825965542303853,1.12635751579379,1.39303721287163
"log_rec_dev.78",2013,-0.996459286410836,-0.342265759220432,0.150037827472668
"log_rec_dev.79",2014,0.53001569203597,0.94269769363621,1.32054115013188
"log_rec_dev.80",2015,0.217227081038183,0.729327734559595,1.18250443623281
"log_rec_dev.81",2016,-0.177912542664767,0.628650840721751,1.15530341536887
"log_rec_dev.82",2017,-0.774457144511964,-0.121987375251161,0.48173690414801
"log_rec_dev.83",2018,1.3965897952406,1.93461262651418,2.30606732049754
"log_rec_dev.84",2019,-1.22016199293156,-0.199248605594942,0.555365746764985
"log_rec_dev.85",2020,-0.574090718994017,0.269879924257472,0.957846137653971
"log_rec_dev.86",2021,-0.533494234026599,0.161119773036592,0.976299608593529
