
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2029 343.618 137.447 120.266 229.363 230.131 230.254 231.657 0.735027 
2030 343.618 137.447 120.266 232.314 233.942 234.183 237.147 1.53446 
2031 343.618 137.447 120.266 234.158 237.293 237.78 243.218 2.91098 
2032 343.618 137.447 120.266 235.363 240.799 241.624 251.096 4.95913 
2033 343.618 137.447 120.266 236.405 244.503 245.982 260.089 7.54858 
2034 343.618 137.447 120.266 237.206 249.413 250.872 269.867 10.3651 
2035 343.618 137.447 120.266 238.421 254.508 256.083 279.813 13.1076 
2036 343.618 137.447 120.266 240.004 259.827 261.43 289.229 15.6013 
2037 343.618 137.447 120.266 241.64 264.779 266.724 298.809 17.7834 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0314207 0.0314318 0.0314307 0.0314363 5.11078e-06 
2027  0 0.0990105 0.119243 0.0784374 0.0785949 0.0785824 0.0786672 7.42406e-05 
2028  0 0.0990105 0.119243 0 0 0 0 0 
2029  0 0.0990105 0.119243 0 0 0 0 0 
2030  0 0.0990105 0.119243 0 0 0 0 0 
2031  0 0.0990105 0.119243 0 0 0 0 0 
2032  0 0.0990105 0.119243 0 0 0 0 0 
2033  0 0.0990105 0.119243 0 0 0 0 0 
2034  0 0.0990105 0.119243 0 0 0 0 0 
2035  0 0.0990105 0.119243 0 0 0 0 0 
2036  0 0.0990105 0.119243 0 0 0 0 0 
2037  0 0.0990105 0.119243 0 0 0 0 0 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 628.533 640.262 642.326 662.346 11.0375 
2028 1785.64 465.616 428.615 601.976 619.052 622.185 652.643 16.2925 
2029 1785.64 465.616 428.615 606.529 631.953 635.007 674.683 21.8821 
2030 1785.64 465.616 428.615 611.489 645.3 648.054 697.753 27.5056 
2031 1785.64 465.616 428.615 615.881 657.969 661.293 720.149 32.8638 
2032 1785.64 465.616 428.615 621.475 670.198 674.608 744.346 37.9537 
2033 1785.64 465.616 428.615 626.777 682.642 687.71 762.649 42.5882 
2034 1785.64 465.616 428.615 632.579 693.365 700.515 781.272 47.0078 
2035 1785.64 465.616 428.615 639.088 706.047 712.901 797.834 51.1435 
2036 1785.64 465.616 428.615 644.105 719.425 724.859 816.896 55.103 
2037 1785.64 465.616 428.615 650.879 731.352 736.177 832.72 58.7655 
Alternative 6 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 47.5178 47.5181 47.5182 47.5189 0.00037647 
2026  0 25.3018 27.0643 44.4616 44.4685 44.4703 44.485 0.00783492 
2027  0 25.3018 27.0643 41.5612 41.6038 41.6116 41.6944 0.0436102 
2028  0 25.3018 27.0643 38.8041 38.9424 38.9673 39.2323 0.137003 
2029  0 25.3018 27.0643 36.2239 36.5456 36.5984 37.1896 0.311006 
2030  0 25.3018 27.0643 33.8025 34.436 34.5234 35.577 0.571461 
2031  0 25.3018 27.0643 31.6623 32.6295 32.789 34.4695 0.905188 
2032  0 25.3018 27.0643 29.7218 31.149 31.3818 33.7671 1.28444 
2033  0 25.3018 27.0643 27.7164 30.0497 30.2512 33.3384 1.74676 
