Alt,Stock,Year,ABC,OFL,Catch,SSB,F,Total_Biom
2,Model_1_goa_pop_2023.dat,2025,38.961969700000004,46.561586599999984,38.961969700000004,223.58728299999962,0.09901050000000135,637.0242830000001
2,Model_1_goa_pop_2023.dat,2026,36.92617519999997,44.12912329999997,36.92617519999997,213.3578760000002,0.09901050000000135,609.2381419999997
2,Model_1_goa_pop_2023.dat,2027,34.98357880000001,41.80806760000001,34.98357880000001,203.34927799999997,0.09901050000000135,585.3428699999993
2,Model_1_goa_pop_2023.dat,2028,33.19875520000001,39.67600050000002,33.19875520000001,193.35310100000007,0.09901050000000135,565.1682750000007
2,Model_1_goa_pop_2023.dat,2029,31.598503399999984,37.76532620000001,31.598503399999984,183.72802599999997,0.09901050000000135,548.5317149999998
2,Model_1_goa_pop_2023.dat,2030,30.23535909999997,36.13869459999999,30.23535909999997,175.0777300000001,0.09901050000000135,534.9973710000008
2,Model_1_goa_pop_2023.dat,2031,29.10736620000003,34.793481700000044,29.10736620000003,167.92675200000016,0.09901050000000135,524.1347360000001
2,Model_1_goa_pop_2023.dat,2032,28.22091830000001,33.73680120000003,28.22091830000001,162.4038860000001,0.09901050000000135,515.5594510000002
2,Model_1_goa_pop_2023.dat,2033,27.537331999999978,32.92209209999995,27.537331999999978,158.32565099999997,0.09901050000000135,508.69367199999994
2,Model_1_goa_pop_2023.dat,2034,27.027547399999975,32.31183260000001,27.027547399999975,155.31231799999986,0.09898135150000134,503.14667900000046
2,Model_1_goa_pop_2023.dat,2035,26.62114930000001,31.81822149999997,26.62114930000001,153.02944100000008,0.09878050250000123,498.4418420000006
2,Model_1_goa_pop_2023.dat,2036,26.309440599999984,31.438479400000013,26.309440599999984,151.22544799999991,0.09845651140000118,494.4680550000006
3,Model_1_goa_pop_2023.dat,2023,20.852699999999732,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
3,Model_1_goa_pop_2023.dat,2024,20.2652995,47.52114250000018,23.831300000000414,229.45537499999938,0.058417327100000006,650.6553349999991
3,Model_1_goa_pop_2023.dat,2025,19.85623719999998,46.561586599999984,19.85623719999998,226.4971159999999,0.04950529999999987,637.0242830000001
3,Model_1_goa_pop_2023.dat,2026,19.538353800000035,45.814059899999975,19.538353800000035,224.3754829999998,0.04950529999999987,628.3583559999995
3,Model_1_goa_pop_2023.dat,2027,19.18345059999999,44.979972199999956,19.18345059999999,221.65126299999974,0.04950529999999987,621.0877449999998
3,Model_1_goa_pop_2023.dat,2028,18.82429699999998,44.13764029999998,18.82429699999998,218.07585399999996,0.04950529999999987,615.1871669999999
3,Model_1_goa_pop_2023.dat,2029,18.475191900000016,43.322112500000024,18.475191900000016,213.98022899999995,0.04950529999999987,610.6900829999997
3,Model_1_goa_pop_2023.dat,2030,18.1681797,42.608317299999996,18.1681797,209.99370399999992,0.04950529999999987,607.3989240000004
3,Model_1_goa_pop_2023.dat,2031,17.90850660000002,42.00784969999999,17.90850660000002,206.7452150000001,0.04950529999999987,605.1649749999999
3,Model_1_goa_pop_2023.dat,2032,17.710965299999994,41.553626699999974,17.710965299999994,204.49850499999988,0.04950529999999987,603.8595719999997
3,Model_1_goa_pop_2023.dat,2033,17.565406399999983,41.220632,17.565406399999983,203.21474499999994,0.04950529999999987,603.1654999999995
3,Model_1_goa_pop_2023.dat,2034,17.47323879999998,41.010942699999966,17.47323879999998,202.6188769999999,0.04950529999999987,602.8952529999998
3,Model_1_goa_pop_2023.dat,2035,17.4236737,40.89888509999995,17.4236737,202.4508290000001,0.04950529999999987,602.7531749999994
3,Model_1_goa_pop_2023.dat,2036,17.416442199999995,40.88359440000001,17.416442199999995,202.48923799999992,0.04950529999999987,602.7115400000001
4,Model_1_goa_pop_2023.dat,2023,26.75849999999992,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
4,Model_1_goa_pop_2023.dat,2024,26.0050675999999,47.52114250000018,23.831300000000414,229.45537499999938,0.058417327100000006,650.6553349999991
4,Model_1_goa_pop_2023.dat,2025,25.48011229999998,46.561586599999984,25.48011229999998,225.64803400000002,0.06388059999999884,637.0242830000001
4,Model_1_goa_pop_2023.dat,2026,24.799838200000032,45.31763889999993,24.799838200000032,221.11450399999958,0.06388059999999884,622.7298839999993
4,Model_1_goa_pop_2023.dat,2027,24.09677130000001,44.03223459999993,24.09677130000001,216.15926599999983,0.06388059999999884,610.4241449999994
4,Model_1_goa_pop_2023.dat,2028,23.4145861,42.78633870000005,23.4145861,210.55783999999997,0.06388059999999884,600.0703070000002
4,Model_1_goa_pop_2023.dat,2029,22.772944799999994,41.617019100000064,22.772944799999994,204.66164299999983,0.06388059999999884,591.6670579999992
4,Model_1_goa_pop_2023.dat,2030,22.212445200000037,40.5982385,22.212445200000037,199.10468999999995,0.06388059999999884,584.9727369999998
4,Model_1_goa_pop_2023.dat,2031,21.738839300000006,39.739862099999925,21.738839300000006,194.49593800000017,0.06388059999999884,579.7778960000003
4,Model_1_goa_pop_2023.dat,2032,21.367877200000013,39.06923759999996,21.367877200000013,191.06828699999963,0.06388059999999884,575.8970409999998
4,Model_1_goa_pop_2023.dat,2033,21.0838437,38.55668780000002,21.0838437,188.74654000000012,0.06388059999999884,572.9495540000008
4,Model_1_goa_pop_2023.dat,2034,20.884180099999995,38.19664189999998,20.884180099999995,187.22877899999992,0.06388059999999884,570.6982750000006
4,Model_1_goa_pop_2023.dat,2035,20.751725999999998,37.95752300000002,20.751725999999998,186.233104,0.06388059999999884,568.7978740000005
4,Model_1_goa_pop_2023.dat,2036,20.681699200000022,37.830493399999995,20.681699200000022,185.52682000000004,0.06388059999999884,567.1892120000006
5,Model_1_goa_pop_2023.dat,2023,0,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
5,Model_1_goa_pop_2023.dat,2024,0,47.52114250000018,23.831300000000414,229.45537499999938,0.058417327100000006,650.6553349999991
5,Model_1_goa_pop_2023.dat,2025,0,46.561586599999984,0,229.44721299999995,0,637.0242830000001
5,Model_1_goa_pop_2023.dat,2026,0,47.569682599999936,0,236.006649,0,648.2329669999999
5,Model_1_goa_pop_2023.dat,2027,0,48.4206432,0,241.75118400000014,0,659.6903249999996
5,Model_1_goa_pop_2023.dat,2028,0,49.17122069999995,0,246.29672899999989,0,671.2753150000002
5,Model_1_goa_pop_2023.dat,2029,0,49.835432999999945,0,249.8420240000001,0,683.0040169999995
5,Model_1_goa_pop_2023.dat,2030,0,50.476774200000015,0,252.93323399999983,0,694.6928970000005
5,Model_1_goa_pop_2023.dat,2031,0,51.0974242,0,256.2031520000002,0,706.2760989999999
5,Model_1_goa_pop_2023.dat,2032,0,51.735607699999996,0,259.9632039999997,0,717.7022760000009
5,Model_1_goa_pop_2023.dat,2033,0,52.36925959999997,0,264.25438700000024,0,728.7770610000002
5,Model_1_goa_pop_2023.dat,2034,0,53.01779909999995,0,268.8568820000002,0,739.401581
5,Model_1_goa_pop_2023.dat,2035,0,53.66923329999986,0,273.561201,0,749.3945939999991
5,Model_1_goa_pop_2023.dat,2036,0,54.349500899999995,0,278.16316400000045,0,758.7866940000001
6,Model_1_goa_pop_2023.dat,2023,48.89620000000057,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
6,Model_1_goa_pop_2023.dat,2024,47.52114250000018,47.52114250000018,47.52114250000018,225.82885499999983,0.11924299999999823,650.6553349999991
6,Model_1_goa_pop_2023.dat,2025,44.47292469999998,44.47292469999998,44.47292469999998,212.40533499999987,0.11924299999999823,613.3016140000004
6,Model_1_goa_pop_2023.dat,2026,41.61411189999997,41.61411189999997,41.61411189999997,200.05993500000008,0.11924299999999823,580.9319909999997
6,Model_1_goa_pop_2023.dat,2027,38.970735200000064,38.970735200000064,38.970735200000064,188.38833299999993,0.11924299999999823,553.5542170000002
6,Model_1_goa_pop_2023.dat,2028,36.60597870000003,36.60597870000003,36.60597870000003,177.14880300000004,0.11924299999999823,530.8292470000002
6,Model_1_goa_pop_2023.dat,2029,34.54063249999999,34.54063249999999,34.54063249999999,166.65828100000022,0.11924299999999823,512.3991329999999
6,Model_1_goa_pop_2023.dat,2030,32.82198250000001,32.82198250000001,32.82198250000001,157.46187299999983,0.11924299999999823,497.66962900000027
6,Model_1_goa_pop_2023.dat,2031,31.435033200000028,31.435033200000028,31.435033200000028,150.00275000000013,0.11924299999999823,486.0537010000003
6,Model_1_goa_pop_2023.dat,2032,30.32406610000001,30.32406610000001,30.32406610000001,144.33869100000027,0.11903357299999853,477.0419309999995
6,Model_1_goa_pop_2023.dat,2033,29.172410999999993,29.172410999999993,29.172410999999993,140.27434499999987,0.11739949899999914,469.99136300000026
6,Model_1_goa_pop_2023.dat,2034,28.24833510000005,28.24833510000005,28.24833510000005,137.46630499999998,0.11557418599999923,464.7421900000008
6,Model_1_goa_pop_2023.dat,2035,27.615528,27.615528,27.615528,135.52371799999997,0.11414568749999936,460.73825199999976
6,Model_1_goa_pop_2023.dat,2036,27.221466799999966,27.221466799999966,27.221466799999966,134.12391900000011,0.11312463259999944,457.6696000000004
7,Model_1_goa_pop_2023.dat,2023,48.89620000000057,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
7,Model_1_goa_pop_2023.dat,2024,47.52114250000018,47.52114250000018,39.7648248999999,227.02836499999952,0.09901039999999833,650.6553349999991
7,Model_1_goa_pop_2023.dat,2025,45.156033300000004,45.156033300000004,37.78509580000002,216.81762499999988,0.09901050000000135,621.0682230000008
7,Model_1_goa_pop_2023.dat,2026,42.86581669999998,42.86581669999998,42.86581669999998,206.10716100000002,0.11924299999999823,595.0893670000002
7,Model_1_goa_pop_2023.dat,2027,40.07152480000006,40.07152480000006,40.07152480000006,193.7875399999999,0.11924299999999823,565.8728109999998
7,Model_1_goa_pop_2023.dat,2028,37.56381339999993,37.56381339999993,37.56381339999993,181.92152600000014,0.11924299999999823,541.4830379999999
7,Model_1_goa_pop_2023.dat,2029,35.36511770000007,35.36511770000007,35.36511770000007,170.8372080000001,0.11924299999999823,521.5680809999998
7,Model_1_goa_pop_2023.dat,2030,33.52500860000002,33.52500860000002,33.52500860000002,161.09056100000012,0.11924299999999823,505.5302269999999
7,Model_1_goa_pop_2023.dat,2031,32.028978300000006,32.028978300000006,32.028978300000006,153.13405999999998,0.11924299999999823,492.77516799999967
7,Model_1_goa_pop_2023.dat,2032,30.862409800000023,30.862409800000023,30.862409800000023,147.02262000000002,0.11921381999999828,482.7799929999999
7,Model_1_goa_pop_2023.dat,2033,29.747077600000008,29.747077600000008,29.747077600000008,142.53893799999997,0.11814986599999883,474.8474340000004
7,Model_1_goa_pop_2023.dat,2034,28.75272140000003,28.75272140000003,28.75272140000003,139.33313599999997,0.11641179099999911,468.722034
7,Model_1_goa_pop_2023.dat,2035,28.03005750000003,28.03005750000003,28.03005750000003,137.04663499999998,0.11491607159999917,463.95569999999975
7,Model_1_goa_pop_2023.dat,2036,27.550998500000016,27.550998500000016,27.550998500000016,135.35908100000015,0.11377939789999936,460.25341599999933
