record_type,join_key,species_key,sex_key,t_table,cruise,permit,haul_seq,haul_join,vessel,haul_date,haul,sex,species,species_name,sample_type,sample_number,sample_size,sample_weight,extrapolated_weight,extrapolated_number,percent_retained,year,date_of_entry,akfin_load_date,akr_species_code,gear_modifier_description,akfin_vdate,fmp_subarea,gear_type
HAUL,j22810003819000000896,301,U,ATL,22810,3819,896,22810003819000000896,A117,2018-07-18T00:00:00Z,440,NA,301,PACIFIC OCEAN PERCH,B,411,362,265.26,10707.72,16591,100,2018,2018-07-18T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22654002046000000022,301,U,ATL,22654,2046,22,22654002046000000022,A573,2018-06-08T00:00:00Z,132,NA,301,PACIFIC OCEAN PERCH,B,51,171,32.88,1871.82,2903,100,2018,2023-02-28T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22810003819000000986,301,U,ATL,22810,3819,986,22810003819000000986,A117,2018-07-29T00:00:00Z,484,NA,301,PACIFIC OCEAN PERCH,B,1133,728,707.56,50586.09,81002,100,2018,2018-07-29T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22829002791000000628,301,U,ATL,22829,2791,628,22829002791000000628,A125,2018-08-25T00:00:00Z,143,NA,301,PACIFIC OCEAN PERCH,B,23,248,19.6,6462.08,7583,100,2018,2018-08-25T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j23044000519000000304,301,U,ATL,23044,519,304,23044000519000000304,A012,2018-11-18T00:00:00Z,326,NA,301,PACIFIC OCEAN PERCH,B,1,212,1,87.77,88,100,2018,2018-11-18T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22635002123000002352,301,U,ATL,22635,2123,2352,22635002123000002352,A118,2018-06-24T00:00:00Z,423,NA,301,PACIFIC OCEAN PERCH,B,150,170,98.16,3812.3,5826,99,2018,2018-06-24T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22635002123000002322,301,U,ATL,22635,2123,2322,22635002123000002322,A118,2018-06-18T00:00:00Z,408,NA,301,PACIFIC OCEAN PERCH,B,1,195,0.81,33.61,41,99,2018,2018-06-18T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22635002123000002344,301,U,ATL,22635,2123,2344,22635002123000002344,A118,2018-06-23T00:00:00Z,419,NA,301,PACIFIC OCEAN PERCH,B,54,192,39.72,1897.91,2575,99,2018,2018-06-23T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22710004037000000224,301,U,ATL,22710,4037,224,22710004037000000224,60056,2018-06-15T00:00:00Z,168,NA,301,PACIFIC OCEAN PERCH,B,50,221,37.6,911.1,1212,100,2018,2018-06-15T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22653007079000000254,301,U,ATL,22653,7079,254,22653007079000000254,A713,2018-05-18T00:00:00Z,82,NA,301,PACIFIC OCEAN PERCH,B,299,218,205.1,14919.78,21750,100,2018,2023-02-28T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
