record_type,join_key,species_key,sex_key,t_table,cruise,permit,vessel,gear,nmfs_area,latdd_start,londd_start,latdd_end,londd_end,length_seq,performance,fishing_depth_fathoms,bottom_depth_fathoms,length,weight,species,sex,haul_offload_date,haul_offload,specimen_number,age,maturity_code,maturity_description,specimen_type,specimen_type_description,haul_join,port_join,year,viability,injury,special_project_code,sample_system,akfin_load_date,gear_description,gear_performance_description,akr_gear,fmp_gear,fmp_area,fmp_subarea,species_name,akr_species_code,deployment_trip_pk,deployment_trip_start_date,deployment_trip_end_date,sampling_strata,sampling_strata_name,sampling_strata_deployment_category,sampling_strata_selection_rate,monitoring_status,landing_report_id,akfin_vdate,gear_type,haul_seq
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,630,57.96667,-149.68333,57.93333,-149.65,9768,1,64,64,34,0.52,301,F,2018-07-31T00:00:00Z,490,49003,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,10,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,998
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,630,57.96667,-149.68333,57.93333,-149.65,9768,1,64,64,34,NA,301,F,2018-07-31T00:00:00Z,490,49003,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,10,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,998
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,630,57.96667,-149.68333,57.93333,-149.65,9771,1,64,64,39,0.74,301,F,2018-07-31T00:00:00Z,490,49001,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,10,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,998
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,630,57.96667,-149.68333,57.93333,-149.65,9771,1,64,64,39,NA,301,F,2018-07-31T00:00:00Z,490,49001,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,10,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,998
HAUL,22710002861e9,301,F,ATL_HAUL,22710,2861,A319,1,630,58.03639,-149.42,58.02778,-149.48056,1501,1,103,105,38,0.6,301,F,2018-06-05T00:00:00Z,65,62,NA,NA,NA,3,Length-Weight Sample,22710002861e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,733955,2018-06-05T00:00:00Z,2018-06-07T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,252
HAUL,22710002861e9,301,F,ATL_HAUL,22710,2861,A319,1,630,58.03639,-149.42,58.02778,-149.48056,1501,1,103,105,38,NA,301,F,2018-06-05T00:00:00Z,65,62,NA,NA,NA,1,Otoliths,22710002861e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,733955,2018-06-05T00:00:00Z,2018-06-07T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,252
HAUL,22710002861e9,301,F,ATL_HAUL,22710,2861,A319,1,630,58.03639,-149.42,58.02778,-149.48056,1504,1,103,105,34,0.45,301,F,2018-06-05T00:00:00Z,65,64,NA,NA,NA,3,Length-Weight Sample,22710002861e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,733955,2018-06-05T00:00:00Z,2018-06-07T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,252
HAUL,22710002861e9,301,F,ATL_HAUL,22710,2861,A319,1,630,58.03639,-149.42,58.02778,-149.48056,1504,1,103,105,34,0.55,301,F,2018-06-05T00:00:00Z,65,63,NA,NA,NA,3,Length-Weight Sample,22710002861e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,733955,2018-06-05T00:00:00Z,2018-06-07T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,252
HAUL,22710002861e9,301,F,ATL_HAUL,22710,2861,A319,1,630,58.03639,-149.42,58.02778,-149.48056,1504,1,103,105,34,NA,301,F,2018-06-05T00:00:00Z,65,63,6,NA,NA,1,Otoliths,22710002861e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,733955,2018-06-05T00:00:00Z,2018-06-07T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,252
HAUL,22710002861e9,301,F,ATL_HAUL,22710,2861,A319,1,630,58.03639,-149.42,58.02778,-149.48056,1504,1,103,105,34,NA,301,F,2018-06-05T00:00:00Z,65,64,NA,NA,NA,1,Otoliths,22710002861e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,733955,2018-06-05T00:00:00Z,2018-06-07T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,252
