
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2033  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2034  0 0.0990105 0.119243 0.0990105 0.0990105 0.0989919 0.0990105 0.000177731 
2035  0 0.0990105 0.119243 0.0977951 0.0990105 0.0988243 0.0990105 0.000829546 
2036  0 0.0990105 0.119243 0.0952278 0.0990105 0.0985101 0.0990105 0.00154386 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2024 1785.64 465.616 428.615 646.756 649.268 650.027 655.738 2.97097 
2025 1785.64 465.616 428.615 620.865 627.755 628.753 641.063 6.51075 
2026 1785.64 465.616 428.615 596.258 607.984 610.049 630.064 11.0356 
2027 1785.64 465.616 428.615 565.602 582.626 585.787 616.173 16.2557 
2028 1785.64 465.616 428.615 536.904 562.192 565.212 604.496 21.7219 
2029 1785.64 465.616 428.615 512.218 545.924 548.15 596.773 27.0704 
2030 1785.64 465.616 428.615 490.187 531.022 534.368 591.741 31.9459 
2031 1785.64 465.616 428.615 472.668 519.152 523.435 588.141 36.3153 
2032 1785.64 465.616 428.615 457.512 509.474 514.764 583.552 39.991 
2033 1785.64 465.616 428.615 445.686 502.775 507.915 580.993 43.2538 
2034 1785.64 465.616 428.615 435.43 496.689 502.483 578.522 46.0679 
2035 1785.64 465.616 428.615 425.952 493.514 498.17 576.978 48.6145 
2036 1785.64 465.616 428.615 421.386 490.502 494.613 573.62 50.7545 
Alternative 3 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 31.454 31.454 31.454 31.454 7.07846e-10 
2025  0 25.3018 27.0643 29.89 29.89 29.89 29.89 1.35037e-08 
2026  0 25.3018 27.0643 18.8368 18.8546 18.858 18.8928 0.0183357 
2027  0 25.3018 27.0643 18.4806 18.5385 18.5489 18.6599 0.0574069 
2028  0 25.3018 27.0643 18.0799 18.2159 18.2376 18.487 0.131096 
2029  0 25.3018 27.0643 17.6289 17.8984 17.9361 18.3865 0.243672 
2030  0 25.3018 27.0643 17.1845 17.6051 17.6741 18.4094 0.392335 
2031  0 25.3018 27.0643 16.7251 17.3466 17.4564 18.5137 0.568313 
2032  0 25.3018 27.0643 16.2849 17.1967 17.2976 18.6921 0.75916 
2033  0 25.3018 27.0643 15.909 17.1003 17.189 18.9097 0.951547 
2034  0 25.3018 27.0643 15.5756 17.0152 17.1324 19.1807 1.13421 
2035  0 25.3018 27.0643 15.2647 16.9797 17.1177 19.5079 1.30026 
2036  0 25.3018 27.0643 15.0707 16.9463 17.1443 19.6314 1.44721 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.352 234.352 234.352 234.352 1.87583e-12 
2024 343.618 137.447 120.266 228.019 228.027 228.03 228.048 0.00955937 
2025 343.618 137.447 120.266 221.337 221.377 221.384 221.457 0.0392784 
2026 343.618 137.447 120.266 216.399 216.521 216.543 216.776 0.120602 
2027 343.618 137.447 120.266 213.879 214.194 214.248 214.845 0.311581 
2028 343.618 137.447 120.266 210.27 211.024 211.145 212.518 0.719603 
2029 343.618 137.447 120.266 205.715 207.307 207.542 210.427 1.50146 
2030 343.618 137.447 120.266 200.515 203.58 204.039 209.277 2.82242 
2031 343.618 137.447 120.266 195.238 200.43 201.235 210.376 4.73696 
2032 343.618 137.447 120.266 190.351 198.057 199.373 212.522 7.07545 
2033 343.618 137.447 120.266 185.697 197.152 198.416 215.732 9.51207 
2034 343.618 137.447 120.266 182.32 196.908 198.12 219.363 11.7667 
2035 343.618 137.447 120.266 179.402 196.665 198.264 222.98 13.6999 
2036 343.618 137.447 120.266 177.478 196.884 198.65 225.664 15.2863 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0727775 0.0727775 0.0727775 0.0727775 3.46945e-16 
2024  0 0.0990105 0.119243 0.0777692 0.0777706 0.0777704 0.0777711 6.25827e-07 
2025  0 0.0990105 0.119243 0.0764708 0.0764996 0.0764967 0.0765113 1.32906e-05 
2026  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2027  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2028  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2029  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2030  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2031  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2032  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2033  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2034  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2035  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2036  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2024 1785.64 465.616 428.615 646.756 649.268 650.027 655.738 2.97097 
2025 1785.64 465.616 428.615 620.865 627.755 628.753 641.063 6.51075 
2026 1785.64 465.616 428.615 596.258 607.984 610.049 630.064 11.0356 
2027 1785.64 465.616 428.615 583.743 600.797 603.943 634.382 16.2776 
2028 1785.64 465.616 428.615 570.748 596.077 599.149 638.644 21.8086 
2029 1785.64 465.616 428.615 559.414 593.174 595.674 644.836 27.2954 
2030 1785.64 465.616 428.615 548.7 590.088 593.504 651.628 32.4087 
2031 1785.64 465.616 428.615 540.504 588.412 592.468 660.289 37.1262 
2032 1785.64 465.616 428.615 533.211 586.95 592.228 664.025 41.2553 
2033 1785.64 465.616 428.615 527.762 586.248 592.6 669.644 45.0504 
2034 1785.64 465.616 428.615 522.464 587.399 593.39 674.572 48.4542 
2035 1785.64 465.616 428.615 518.142 588.292 594.488 680.123 51.6124 
2036 1785.64 465.616 428.615 516.506 591.623 595.633 681.788 54.4167 
Alternative 4 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 31.454 31.454 31.454 31.454 7.07846e-10 
2025  0 25.3018 27.0643 29.89 29.89 29.89 29.89 1.35037e-08 
2026  0 25.3018 27.0643 24.1719 24.1949 24.1992 24.2442 0.023652 
2027  0 25.3018 27.0643 23.4564 23.531 23.5444 23.6875 0.0739869 
2028  0 25.3018 27.0643 22.7073 22.8821 22.9102 23.2311 0.168686 
2029  0 25.3018 27.0643 21.9197 22.2653 22.3139 22.8918 0.312757 
2030  0 25.3018 27.0643 21.1682 21.704 21.7941 22.7329 0.501834 
2031  0 25.3018 27.0643 20.424 21.2159 21.3563 22.7024 0.723783 
2032  0 25.3018 27.0643 19.7324 20.8864 21.017 22.7806 0.961917 
2033  0 25.3018 27.0643 19.1438 20.6458 20.7625 22.9263 1.19882 
2034  0 25.3018 27.0643 18.6371 20.443 20.5917 23.178 1.42027 
2035  0 25.3018 27.0643 18.1839 20.3241 20.4884 23.415 1.61819 
2036  0 25.3018 27.0643 17.8716 20.2089 20.4478 23.5071 1.79049 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.352 234.352 234.352 234.352 1.87583e-12 
2024 343.618 137.447 120.266 228.019 228.027 228.03 228.048 0.00955937 
2025 343.618 137.447 120.266 221.337 221.377 221.384 221.457 0.0392784 
2026 343.618 137.447 120.266 215.591 215.713 215.734 215.968 0.120572 
