"Year","age 2","age 3","age 4","age 5","age 6","age 7","age 8","age 9","age 10","age 11","age 12","age 13","age 14","age 15","age 16","age 17","age 18","age 19","age 20","age 21","age 22","age 23","age 24","age 25","age 26","age 27","age 28","age 29"
"1997","157.656","137.845","53.8235","62.6617","49.3779","45.7118","35.5943","63.8516","72.1005","84.0294","48.7368","47.3418","27.4651","16.347","13.1602","11.2391","7.78199","6.70843","6.85119","8.01343","4.60548","3.38167","2.93884","2.65448","2.42433","2.22577","2.15822","9.9112"
"1998","94.3233","146.36","127.963","49.9474","58.0736","45.6282","42.0351","32.5195","57.9119","64.9335","75.2322","43.4568","42.1288","24.4416","14.573","11.768","10.0894","7.01608","6.07467","6.22988","7.31451","4.2179","3.10594","2.70564","2.44859","2.23974","2.05879","11.181"
"1999","119.183","87.5651","135.869","118.753","46.2983","53.6891","41.9994","38.4675","29.5655","52.3192","58.3536","67.362","38.8412","37.6553","21.8807","13.082","10.6009","9.12396","6.36963","5.53562","5.69647","6.70835","3.87828","2.86195","2.49742","2.26329","2.0725","12.2682"
"2000","240.915","110.644","81.2878","126.083","110.051","42.775","49.3533","38.3484","34.8588","26.5965","46.7786","51.9537","59.8501","34.5109","33.5184","19.5387","11.7291","9.54717","8.25434","5.78752","5.04963","5.21444","6.15892","3.56943","2.63933","2.30686","2.09321","13.2844"
"2001","147.761","223.654","102.712","75.4338","116.85","101.691","39.3327","45.0863","34.7771","31.3891","23.8078","41.7025","46.2233","53.2505","30.7598","29.9671","17.5371","10.5732","8.64417","7.50502","5.2823","4.62436","4.78902","5.66998","3.29246","2.43832","2.13376","14.246"
"2002","233.444","137.175","207.62","95.3125","69.9014","107.938","93.4434","35.8906","40.819","31.247","28.0245","21.1627","36.9897","41.0011","47.3239","27.4265","26.8321","15.7755","9.55595","7.84773","6.84153","4.83271","4.24381","4.40619","5.2276","3.04064","2.25477","15.1722"
"2003","125.397","216.718","127.34","192.656","88.3082","64.5421","99.0954","85.1391","32.4232","36.5719","27.8036","24.8175","18.6973","32.6816","36.3004","42.0486","24.4806","24.0711","14.2248","8.65876","7.14267","6.25131","4.43058","3.90153","4.05999","4.82559","2.81079","16.1391"
"2004","187.335","116.412","201.182","118.167","178.53","81.5774","59.3141","90.4408","77.1022","29.1426","32.666","24.7265","22.024","16.5933","29.0583","32.3813","37.6648","22.0292","21.7617","12.9173","7.89486","6.53579","5.7376","4.07681","3.5974","3.74969","4.46253","17.5531"
"2005","74.4358","173.912","108.067","186.686","109.494","164.888","74.9373","54.0947","81.8174","69.2061","25.9875","28.9979","21.9014","19.5084","14.7267","25.8773","28.9614","33.8485","19.8934","19.7431","11.7687","7.21965","5.99581","5.27748","3.75794","3.32172","3.467","20.39"
"2006","125.045","69.1026","161.445","100.283","173.01","101.168","151.59","68.437","49.0347","73.6298","61.9058","23.1493","25.7782","19.4702","17.3742","13.1567","23.2111","26.0924","30.6321","18.0802","18.0137","10.7747","6.62925","5.51892","4.86736","3.4714","3.07226","22.1004"
"2007","89.4461","116.086","64.1485","149.809","92.9145","159.748","92.884","138.128","61.8317","43.9389","65.5266","54.8316","20.4563","22.7802","17.2412","15.44","11.7453","20.8254","23.5301","27.7587","16.4571","16.4607","9.87867","6.0948","5.08545","4.49315","3.20905","23.3127"
"2008","196.271","83.034","107.723","59.464","138.602","85.7265","146.881","85.0684","125.984","56.1649","39.7586","59.0885","49.3001","18.35","20.3998","15.4228","13.8047","10.5017","18.6299","21.0687","24.886","14.7763","14.8048","8.90141","5.50251","4.60032","4.07258","24.1261"
"2009","142.782","182.202","77.0552","99.8695","55.0322","127.95","78.8885","134.683","77.7101","114.658","50.9362","35.9441","53.2775","44.3576","16.4847","18.308","13.8351","12.384","9.42528","16.7342","18.9465","22.4102","13.327","13.3753","8.05612","4.98897","4.17851","25.6964"
"2010","225.349","132.547","169.083","71.4387","92.4298","50.8059","117.756","72.3475","123.057","70.7405","104.013","46.064","32.4206","47.9542","39.8643","14.8004","16.43","12.4163","11.1191","8.4696","15.0544","17.0678","20.2192","12.0441","12.1089","7.30634","4.53271","27.2302"
"2011","82.8897","209.195","122.997","156.727","66.0863","85.2599","46.6971","107.794","65.9436","111.689","63.9495","93.6923","41.368","29.0453","42.886","35.6111","13.2144","14.67","11.0921","9.94269","7.5833","13.5002","15.3329","18.1989","10.8625","10.9433","6.61657","28.8708"
"2012","184.512","76.9479","194.132","114.03","145.047","61.0071","78.4594","42.8191","98.4703","60.0155","101.292","57.8149","84.4793","37.2213","26.0933","38.4891","31.9455","11.8546","13.1665","9.96363","8.94131","6.82895","12.1762","13.8526","16.4709","9.84881","9.93997","32.3363"
"2013","68.7672","171.286","71.4069","179.974","105.526","133.886","56.1325","71.9284","39.1047","89.5875","54.4069","91.5334","52.1036","75.97","33.4193","23.4044","34.5069","28.6413","10.6335","11.8203","8.95521","8.04764","6.15617","10.9955","12.5318","14.9278","8.94247","38.5066"
"2014","180.151","63.838","158.96","66.2119","166.624","97.4821","123.339","51.5484","65.8362","35.6754","81.4794","49.3466","82.8261","47.0594","68.5218","30.1166","21.083","31.0853","25.8118","9.58999","10.671","8.09431","7.28396","5.58024","9.98231","11.395","13.5952","43.3339"
"2015","123.656","167.237","59.238","147.341","61.2485","153.687","89.5875","112.884","46.975","59.7377","32.2401","73.3677","44.2979","74.1708","42.0665","61.182","26.8766","18.8156","27.7569","23.0702","8.58264","9.56525","7.26862","6.55365","5.03097","9.01842","10.3161","51.7223"
"2016","117.212","114.791","155.183","54.9043","136.275","56.4771","141.179","81.9437","102.787","42.5817","53.9228","28.9923","65.7662","39.6073","66.1936","37.4975","54.5071","23.9453","16.7728","24.7682","20.6143","7.6817","8.57723","6.53104","5.90112","4.53986","8.15571","56.3204"
"2017","65.1375","108.808","106.507","143.779","50.7396","125.474","51.7619","128.718","74.3006","92.6921","38.203","48.1563","25.7914","58.3241","35.0457","58.4853","33.1089","48.13","21.1582","14.8386","21.9485","18.3043","6.8365","7.65235","5.84186","5.29234","4.08226","58.2556"
"2018","195.481","60.467","100.954","98.673","132.85","46.7034","114.942","47.1602","116.606","66.9286","83.0511","34.0667","42.7691","22.8325","51.5114","30.9056","51.5406","29.1789","42.447","18.6835","13.1258","19.4556","16.2639","6.08998","6.83504","5.23222","4.75303","56.2737"
"2019","129.606","181.464","56.1007","93.5205","91.1554","122.241","42.7607","104.646","42.6817","104.912","59.884","73.9423","30.2032","37.7921","20.1261","45.3349","27.1803","45.3304","25.6819","37.409","16.4956","11.6139","17.2571","14.4645","5.43132","6.11316","4.69294","55.0279"
"2020","78.5175","120.312","168.357","51.9658","86.3791","83.8475","111.862","38.9014","94.6161","38.3553","93.7369","53.2305","65.4409","26.638","33.2464","17.6766","39.7875","23.8557","39.8161","22.5886","32.9647","14.5687","10.2835","15.3226","12.8802","4.85074","5.47584","53.7901"
"2021","74.1636","72.8874","111.622","155.948","47.9977","79.4544","76.7286","101.767","35.1731","85.0262","34.27","83.3232","47.111","57.7169","23.4342","29.2005","15.5139","34.9214","20.9541","35.0209","19.9053","29.1144","12.9","9.13088","13.6445","11.5035","4.34508","53.3788"
"2022","85.8663","68.8449","67.6154","103.356","143.916","44.0808","72.531","69.5645","91.6014","31.4339","75.4775","30.2389","73.148","41.1903","50.3133","20.3895","25.3844","13.4873","30.3867","18.2623","30.5886","17.4321","25.5733","11.3678","8.07356","12.1063","10.242","51.726"
"2023","85.7337","79.7081","63.8633","62.6012","95.3565","132.109","40.2101","65.6907","62.5312","81.7272","27.8491","66.4512","26.4813","63.7873","35.8078","43.6522","17.674","22.0051","11.7027","26.41","15.9085","26.7197","15.2748","22.4843","10.03","7.14919","10.7589","55.4261"
